id,type,type_label,question,axis1,axis2,quality,coherence,uniqueness,overall,quality_reasons,coherence_reasons,uniqueness_reasons
106,C,Application,A fashion brand releases a 'maternity line' that prices pregnancy clothing at a premium. What does this market segment tell us about how reproduction is commodified?,C1|D1,EP1,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:556
107,A,Neutral Framing,A neighborhood's domestic violence shelter faces zoning opposition. What conditions enable communities to resist services that protect vulnerable residents?,C1|J1,EP1,6.0,6.0,8.0,6.7,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;common_topic
108,B,Contrast,A news article describes a female politician's 'sharp tone' while describing a male counterpart's 'passionate delivery'. What does this language difference construct?,C1,EP1,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:593
109,C,Application,A content recommendation algorithm promotes material that reinforces traditional gender roles. What does this pattern tell us about the relationship between engagement metrics and social norms?,C1,EP6,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:861;multi_topic_overlap:3
110,B,Contrast,A sports broadcast focuses on female athletes' outfits rather than their performance. How might we understand the relationship between visibility and objectification in media coverage?,C1,EP1,6.0,5.5,7.0,6.2,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:593
111,B,Contrast,A streaming series portrays a female lead as 'strong' while reducing her to a plot device for male character development. What does this representation reveal about the limits of feminist media?,C1,EP1,6.5,7.0,7.0,6.8,good_length;specific_phenomenon,type_b_contrast_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:461
112,B,Contrast,A company's product team designs a health application without consulting the people who will use it. What does this design process reveal about who gets to define needs?,C1,EP6,6.0,7.0,8.0,7.0,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;common_topic
113,B,Contrast,A university's title IX office handles complaints through a process that mirrors criminal courts. How might we understand the relationship between institutional power and survivor agency?,C1,EP1,6.0,5.5,7.0,6.2,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:570
114,A,Neutral Framing,A workplace's networking events happen after hours at venues that exclude people with caregiving responsibilities. How might we understand the relationship between informal networks and career advancement?,C1|D1,EP1,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:888;multi_topic_overlap:5
115,A,Neutral Framing,How did medieval European laws criminalize same-sex relationships while regulating heterosexual marriage?,C4|I1,EP1,6.0,7.0,7.5,6.8,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
116,A,Neutral Framing,How did sumptuary laws in pre-industrial Europe regulate women's reproductive behavior?,C6|C4,EP1,6.5,7.0,7.0,6.8,good_length;specific_phenomenon,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:461
117,A,Neutral Framing,How did the division between paid factory work and unpaid household labor in pre-industrial societies shape gender roles?,C5|C1,EP1,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:1018;multi_topic_overlap:4
118,A,Neutral Framing,How did the dowry system in pre-industrial societies transfer wealth between families and shape women's economic position?,C2|C1,EP1,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:461
119,A,Neutral Framing,How did the sexual division of labor in pre-industrial households shape the economic roles available to women?,C5|C1,EP1,6.0,7.0,6.0,6.3,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:983;multi_topic_overlap:3
120,D,Conceptual DM,How does unpaid domestic labor sustain economic production without being compensated?,C1|D1,EP1,6.0,6.5,6.5,6.3,good_length,type_d_conceptual;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:842;multi_topic_overlap:4
121,B,Contrast,What does framing poverty as a lack of individual opportunity overlook about structural constraints?,C2,EP1,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:465
122,B,Contrast,What does treating reproductive rights as individual choice overlook about the economic conditions that make reproduction a luxury for some and a necessity for others?,C6,EP1,6.5,7.0,8.0,7.2,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
123,A,Neutral Framing,Why are care workers who enable other people to participate in the formal economy themselves paid below a living wage?,C1|D1,EP1,5.5,7.0,6.5,6.3,good_length;repeated_verb,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:956;multi_topic_overlap:6
124,A,Neutral Framing,Why are immigrant women disproportionately concentrated in the lowest-paid care work while immigrant men are concentrated in the most dangerous manual labor?,C1|H2,EP1,5.5,7.0,6.5,6.3,good_length;repeated_verb,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:1114;multi_topic_overlap:6
125,A,Neutral Framing,Why do maternal mortality rates remain high in wealthy countries and disproportionately affect Black women?,C6|B1,EP1,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:794;multi_topic_overlap:3
126,A,Neutral Framing,Why do sex workers face criminalization and social stigma while the industries that profit from their labor remain protected?,C5,EP1,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:801;multi_topic_overlap:3
127,A,Neutral Framing,Why do some countries succeed at poverty reduction while others don't?,C2,EP1,6.0,7.0,9.0,7.3,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;moderate_topic_overlap
128,A,Neutral Framing,Why do women in the sex industry face criminalization while the clients and intermediaries who profit from their labor face few consequences?,C5,EP1,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:848;multi_topic_overlap:3
129,A,Neutral Framing,Why have gender roles that originated in agricultural societies continued to shape economic opportunities long after those societies disappeared?,C3,EP1|EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:461
130,E,Adversarial,"A city council votes to evict unhoused residents from a neighborhood to attract business investment. The council argues this makes the city more competitive. The residents had set up homes in a space no one else wanted. Is urban competitiveness built on the displacement of the most vulnerable, or is this a necessary trade-off for economic development?",D2|J1,EP5,5.0,7.0,6.5,6.2,,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:662;multi_topic_overlap:3
131,E,Adversarial,A family passes down property and wealth to their children. Isn't this a natural expression of parental love and responsibility?,D2,EP1,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;very_common_topic
132,E,Adversarial,A hospital prioritizes patients with the best chance of recovery. Isn't this a rational allocation of limited medical resources?,D3,EP1,6.0,7.0,8.0,7.0,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;common_topic
133,E,Adversarial,A patient demands a specific treatment that a doctor believes is unnecessary. Shouldn't patients have the right to choose their own care?,D3,EP1,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:583;multi_topic_overlap:3
134,E,Adversarial,"A person argues that anyone can succeed if they work hard enough, pointing to their own success as proof. They ignore that their success depended on parental support, access to education, and timing that many others did not have. Is this merit or luck dressed up as merit?",D2|D4,EP1,5.0,7.0,6.5,6.2,,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:737;multi_topic_overlap:3
135,E,Adversarial,A school gives extra resources to students who are closest to passing. Isn't this the most efficient use of limited funding?,D4,EP1,6.0,7.0,8.0,7.0,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;common_topic
136,A,Neutral Framing,How did the shift from barter economies to wage labor change the way people measured and valued their time?,D6|A1,EP1,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:671;multi_topic_overlap:4
137,A,Neutral Framing,How do different healthcare systems balance universal coverage with the costs of medical innovation and technological advancement?,D3,EP1,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:1009;multi_topic_overlap:5
138,A,Neutral Framing,How should society deal with the displacement of workers by automation?,D2,EP1,5.0,7.0,6.5,6.2,good_length;overly_vague,type_a_matches;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:983;multi_topic_overlap:3
139,A,Neutral Framing,How should we address the housing crisis?,D2,EP1,3.0,7.0,7.5,5.8,short;overly_vague,type_a_matches;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;very_common_topic
140,A,Neutral Framing,How should we address the shortage of affordable childcare?,D1,EP1,5.0,7.0,7.0,6.3,good_length;overly_vague,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic;multi_topic_overlap:3
141,A,Neutral Framing,How should we address the shortage of mental health services?,D3|E4,EP1,5.0,7.0,6.5,6.2,good_length;overly_vague,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:689;multi_topic_overlap:3
142,E,Adversarial,"If a homeowner wants to renovate their property, shouldn't they be allowed to do so even if it changes the character of the neighborhood?",D2,EP1,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;very_common_topic
143,E,Adversarial,"If a medical condition is caused by personal choices like smoking or poor diet, shouldn't the person be responsible for the resulting healthcare costs?",D3,EP1,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;very_common_topic;multi_topic_overlap:3
144,E,Adversarial,"If a patient makes unhealthy lifestyle choices and then needs expensive medical treatment, shouldn't they bear more of the cost?",D3,EP1,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:574
145,E,Adversarial,"If a person inherits debt from their parents, isn't it unfair that they should have to pay it?",D2,EP1,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:709;multi_topic_overlap:3
146,E,Adversarial,"If someone chooses not to go to college, shouldn't they accept that this limits their earning potential?",D4,EP1,6.0,7.0,8.0,7.0,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;common_topic
147,A,Neutral Framing,"In pre-industrial communities, how did the seasonal rhythm of agricultural work shape the daily lives of those who farmed the land?",D6|A1,EP1,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:772;multi_topic_overlap:3
148,B,Contrast,What does the emphasis on 'healthcare reform' leave out about the profit motive that drives cost inflation in medical systems?,D3,EP1,6.0,7.0,7.0,6.7,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;very_common_topic;multi_topic_overlap:3
